,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,vardo,100,NO,1600134146,83,70.37,31.11,47.39,15.73
88,san patricio,75,MX,1600134147,79,19.22,-104.7,86.0,9.17
89,mopti,24,ML,1600134148,59,14.67,-4.0,85.14,7.11
90,harbour breton,45,CA,1600134149,100,47.48,-55.8,59.0,5.99
91,esperance,4,AU,1600134150,72,-33.87,121.9,62.6,14.99
92,kaitangata,100,NZ,1600134151,63,-46.28,169.85,46.0,15.01
93,ilheus,56,BR,1600134059,90,-14.79,-39.05,71.11,6.2
94,port elizabeth,20,ZA,1600134154,81,-33.92,25.57,51.8,8.05
95,imbituba,75,BR,1600134156,55,-28.24,-48.67,60.8,21.92
96,nanortalik,100,GL,1600134157,73,60.14,-45.24,42.04,35.61
97,santo domingo,75,DO,1600134000,94,18.5,-69.99,80.6,1.12
98,muros,83,ES,1600134160,85,42.78,-9.06,66.99,8.01
99,lebu,7,CL,1600134161,88,-37.62,-73.65,50.61,19.33
100,kalevala,0,RU,1600134162,86,65.2,31.17,43.03,9.69
101,ponta do sol,20,PT,1600134163,83,32.67,-17.1,69.8,2.24
102,victoria,100,HK,1600134114,95,22.29,114.16,82.99,8.01
103,kincardine,100,GB,1600134165,100,56.07,-3.72,60.01,1.57
104,marsaxlokk,40,MT,1600134166,83,35.84,14.54,77.0,12.75
105,riyadh,0,SA,1600134168,21,24.69,46.72,84.2,8.05
106,mayo,1,US,1600134169,60,38.89,-76.51,72.0,6.93
107,khatanga,44,RU,1600134170,69,71.97,102.5,52.29,4.52
108,san policarpo,99,PH,1600134171,73,12.18,125.51,84.58,8.7
109,cayenne,0,GF,1600134172,100,4.93,-52.33,78.8,3.36
110,namatanai,74,PG,1600134173,74,-3.67,152.43,83.98,9.62
111,gilbues,21,BR,1600134176,46,-9.83,-45.34,74.98,7.63
112,bedesa,89,ET,1600134178,86,8.9,40.78,60.39,4.97
